Quote,Author
Sports teaches you to understand the meaning of a team. You need to be able to work with everybody; you don't have to be their best friend. You can experience the fun of competition and driving toward a common goal without pushing to bond in some major way with each individual on a project.,Kathleen Kennedy
Try to leave the Earth a better place than when you arrived.,Sidney Sheldon
The mediocre teacher tells. The good teacher explains. The superior teacher demonstrates. The great teacher inspires.,William Arthur Ward
"We, the People, recognize that we have responsibilities as well as rights; that our destinies are bound together; that a freedom which only asks what's in it for me, a freedom without a commitment to others, a freedom without love or charity or duty or patriotism, is unworthy of our founding ideals, and those who died in their defense.",Barack Obama
"Little things seem nothing, but they give peace, like those meadow flowers which individually seem odorless but all together perfume the air.",Georges Bernanos
Education is the foundation upon which we build our future.,Christine Gregoire
A father is a man who expects his son to be as good a man as he meant to be.,Frank A. Clark
"Honestly, I feel like everything in life happens for a reason, and my son has been the greatest gift that God has given me in my life and been the most game-changing thing that's happened to my life, in a necessary way.",Ciara
"It was settled by the Constitution, the laws, and the whole practice of the government that the entire executive power is vested in the President of the United States.",Andrew Jackson
"The greatest glory in living lies not in never falling, but in rising every time we fall.",Ralph Waldo Emerson
"If you can't feed a hundred people, then feed just one.",Mother Teresa
"The bond that links your true family is not one of blood, but of respect and joy in each other's life.",Richard Bach
"I write about the power of trying, because I want to be okay with failing. I write about generosity because I battle selfishness. I write about joy because I know sorrow. I write about faith because I almost lost mine, and I know what it is to be broken and in need of redemption. I write about gratitude because I am thankful - for all of it.",Kristin Armstrong
"I built my church on Easter services, Christmas Eve services, and Norman Vincent Peale.",Robert H. Schuller
"Acceptance and tolerance and forgiveness, those are life-altering lessons.",Jessica Lange
"Developing a diet that is healthful, balanced, and appropriate for your particular caloric needs is easy enough and is absolutely critical to establishing a healthful lifestyle that incorporates proper nutrition, adequate fitness, and mental resilience.",Daphne Oz
"I mean, I look at my dad. He was twenty when he started having a family, and he was always the coolest dad. He did everything for his kids, and he never made us feel like he was pressured. I know that it must be a great feeling to be a guy like that.",Adam Sandler
"I'm a dreamer. I have to dream and reach for the stars, and if I miss a star then I grab a handful of clouds.",Mike Tyson
"Design must be functional, and functionality must be translated into visual aesthetics without any reliance on gimmicks that have to be explained.",Ferdinand Porsche
Battle is the most magnificent competition in which a human being can indulge. It brings out all that is best; it removes all that is base. All men are afraid in battle. The coward is the one who lets his fear overcome his sense of duty. Duty is the essence of manhood.,George S. Patton
